vocab,syn,morphs
건네다,주다,건네
건립,세우다; 세우다,건립
건설,건축,건설
건조,말리다,건조
건지다,구하다; 구원하다/꺼내다,건지
건축,"건설, 세우다",건축
건축가,"건축사, 건축자",건축가
건축물,건물,건축물
걸림돌,장애물; 방해/장애/장해,걸림돌
걸맞다,"알맞다, 어울리다, 적합하다",걸맞
걸작,명작,걸작
걸핏하면,툭하면,걸핏
검,칼; 까맣다; 까맣다; 까맣다,검
검거,잡다,검거
검사,검찰관,검사
검색,찾다; 찾다,검색
검진,진찰,검진
검찰,검찰청,검찰
겁나다,"두렵다, 무섭다; 무섭다",겁나
겁내다,"두려워하다, 무서워하다",겁내
겉모습,겉모양,겉모습
겉보기,외관,겉보기
게다가,더구나,게다가
게시판,"안내판, 알림판",게시판
게재,"등재, 싣다",게재
겨냥,조준; 타깃,겨냥
겨를,틈; 시간/새/팀,겨
겨우,가까스로; 가까스로/간신히/근근이,겨우
겨울철,"동계, 동절",겨울철
격렬하다,극렬하다; 치열하다/맹렬하다/강열하다,격렬
격리,분리; 외지다/고립되다/구석지다,격리
격언,명언,격언
격차,"차이, 틈",격차
겪다,경험하다; 경험,겪
견고하다,공고하다; 튼튼하다/튼실하다/굳다,견고
견디다,"버티다, 참다, 인내하다; 참다",견디
견본,견품; 샘플/시료/시식,견본
견제,방해,견제
견주다,비교하다; 비유하다/비교하다/비기다/대보다,견주
견해,의견,견해
결국결국,"드디어, 마침내; 드디어",결국
결근,쉬다; 쉬다; 결석하다,결근
결단,결정,결단
결말,결국,결말
결별,이별,결별
결부,연결,결부
결성,조직,결성
결승,결승전,결승
결승전,결승,결승전
결실,결과; 결과/성과/주효/주공열매,결실
결여,"결핍, 부족",결여
결의,결심; 의결; 결심; 각오/결심/생각,결의
결점,단점,결점
결코,절대; 결단코/아예/절대로) (____ + 부정문,결코
결핍,"결여, 부족; 결여/가난/궁핍",결핍
결함,결점; 결점/단점/약점,결함
결혼식장,예식장,결혼식장
겸손,겸허,겸손
겸하다,겸임하다; 결합하다/통합하다/합하다/겸비하다,겸하
겸허,겸손,겸허
겹,이중,겹
경,"께, 무렵, 쯤",경
경각심,경계심,경각심
경과,지나다,경과
경관,경치,경관
경로,루트,경로
경멸,멸시,경멸
경비,비용; 경비원; 돈,경비
경사,기울기,경사
경솔하다,경박하다; 무모하다/성급하다/섣부르다,경솔
경시,"무시, 멸시",경시
경연,대회,경연
경영,운영,경영
경영학,경영 경제학,경영학
경위,과정,경위
경유,"거치다, 들르다",경유
경주,달리기; 달리기,경주
경지,"부문, 분야, 영역",경지
경직,굳다; 굳다,경직
경찰관,"경관, 경찰; 경찰",경찰관
경청,듣다,경청
경향,동향; 성향/추세/기질/풍,경향
경험담,체험담,경험담
곁,옆,곁
계급,지위,계급
계기,"근거, 동기, 원인; 동기/원인/근거",계기
계발,개발,계발
계승,"전승, 물려받다",계승
계열,"관련, 계통",계열
계좌,구좌,계좌
계층,층,계층
계통,계열; 계열,계통
고갈,마르다; 지치다/피로하다/바닥나다,고갈
고개,언덕,고개
고객,손님; 손님,고객
